18.7,21.388,6.2146,-1.3937,18.891,-3.4767,24.65,5.9652,-1.3937,-1.0296,5.9652,-1.3937,-1.5516
0.38471,0.17911,-2.5232,-1.8724,4.7882,-2.3805,25.615,3.4177,-0.4787,-0.65791,3.4177,-0.4787,-0.98929
1.1667,-0.87446,-2.4855,3.8217,2.1448,-7.4546,26.285,6.6038,1.8674,24.398,12.035,0.097619,25.759
2.4233,-0.49307,4.59,9.1064,-5.0177,-4.3228,27.864,-1.1703,1.175,26.164,6.5793,-0.40946,27.608
3.212,-0.56458,5.0634,14.27,-9.22,-3.8225,29.627,-3.9012,-0.22272,29.961,5.8939,-2.4787,28.855
4.1139,0.78276,0.25449,17.873,-8.1354,-2.6826,32.289,0.28533,-1.0515,35.359,9.6272,-2.192,31.335
3.7906,0.63976,-0.011208,19.832,-8.006,-1.8074,34.532,0.6568,-1.5135,39.522,10.912,-1.615,32.342
3.7088,0.53053,-0.051047,20.627,-8.2949,-1.433,36.527,0.12455,-1.7713,42.906,11.815,-1.1842,31.945
3.7785,0.52444,-0.092168,20.533,-8.7122,-1.1541,38.4,-0.39734,-2.0343,45.646,12.269,-0.24984,31.044
3.9311,0.51208,0.15239,19.842,-9.4275,-0.97906,40.193,-0.85047,-2.2061,47.673,11.871,0.89813,30.021
4.1899,0.60407,0.15748,18.729,-10.119,-0.83319,41.99,-0.85113,-2.1603,49.084,11.157,2.0984,29.024
4.4361,0.7113,0.047064,17.299,-10.678,-0.69219,43.798,-0.80482,-1.849,49.892,10.545,3.2505,28.135
4.6227,0.79064,-0.091883,15.628,-11.088,-0.55759,45.598,-0.86159,-1.2478,50.154,10.143,4.2801,27.398
4.7392,0.83231,-0.2184,13.754,-11.371,-0.41079,47.361,-0.99163,-0.29373,49.941,9.8843,5.127,26.841
