1.1,0.92492,0.05,-0.080013,1,-0.027237,0.90091,-0.078885,-0.078885,-0.072749,-0.080013,-0.080013,-0.080013
0.9,1.1,0.05,0.03471,3.0466e-12,0.0014941,0.98116,0.33252,0.016228,0.21083,0.47416,0.02314,-0.0021527
0.97805,1.0234,-0.03369,0.023731,4.5453e-12,0.016012,0.98111,0.121,0.0037687,0.037331,0.39046,0.012161,-0.0005189
0.99395,1.0074,-0.14768,0.017824,2.5548e-11,0.02268,0.9811,0.0069109,-0.00060926,0.0067976,0.2657,0.0074899,2.4023e-06
0.9991,1.0022,-0.20473,0.016494,4.6699e-12,0.024205,0.98109,-0.04975,-0.00096594,0.0040316,0.23448,0.0071339,0.00010812
0.99955,1.0014,-0.22055,0.016394,6.8666e-12,0.023847,0.98109,-0.04488,-0.00053396,0.0029178,0.23948,0.0075704,7.9642e-05
0.99938,1.0013,-0.2284,0.016131,3.9547e-12,0.023752,0.98109,-0.014305,-0.00039919,0.0011867,0.079847,0.0047631,0.9411
1.0014,0.99917,-0.15988,0.031703,-7.7899e-12,0.0082362,0.98109,0.05397,0.015103,0.0020093,0.12128,0.012749,0.94073
0.99948,1.0008,-0.13904,0.027931,-1.2202e-12,0.011868,0.98109,0.0239,0.0019022,0.0012519,-0.01205,0.0070706,0.94091
1.0009,0.99902,-0.050049,0.031664,-1.1891e-11,0.0081685,0.98109,0.056202,0.0028064,0.002223,0.069036,0.0050441,0.94078
0.99977,1.0001,-0.029731,0.033123,-1.5754e-12,0.0065916,0.98109,0.038262,0.0021319,0.0016196,0.089354,0.0065029,0.94068
1.0007,0.99912,-0.046163,0.031757,3.9971e-12,0.0079501,0.98109,0.054343,0.00025685,0.0021726,0.058277,0.0046213,0.94083
0.99976,0.99999,-0.070637,0.031989,2.7304e-12,0.0076175,0.98109,0.038562,0.00024406,0.0016051,0.0027342,0.00026114,0.94105
1.0004,0.9994,-0.063109,0.034134,1.4517e-12,0.0066913,0.98109,0.046578,0.0011909,0.0016669,0.010786,0.0012113,0.941
