-0.99917,0.99918,1.976,-0.7364,-4.1502,-0.73159,1.722
-1.4475,1.4475,4.7191,-0.54257,-7.8689,-1.5841,2.4946
-1.6136,1.6136,7.8888,-0.066056,-11.4,-2.3047,2.7809
-1.7238,1.7238,11.163,0.23712,-14.914,-2.7697,2.9707
-1.8823,1.8823,14.38,0.26746,-18.476,-3.0329,3.2439
-2.106,2.106,17.504,0.13923,-22.086,-3.2333,3.6294
-2.3783,2.3783,20.551,-0.0049063,-25.726,-3.4893,4.0987
-2.6827,2.6827,23.542,-0.08836,-29.379,-3.853,4.6233
-3.0099,3.0099,26.491,-0.10374,-33.041,-4.3184,5.1872
-3.3553,3.3553,29.409,-0.078525,-36.71,-4.8511,5.7824
-3.7133,3.7133,32.306,-0.041937,-40.386,-5.4137,6.3994
-4.078,4.078,35.193,-0.012013,-44.066,-5.9794,7.0279
-4.4429,4.4429,38.08,0.0062841,-47.747,-6.5337,7.6567
-4.8042,4.8042,40.973,0.013803,-51.427,-7.0722,8.2795
-5.1602,5.1602,43.876,0.014599,-55.104,-7.5959,8.8929
-5.5108,5.5108,46.787,0.011878,-58.779,-8.1084,9.4972
-5.8573,5.8573,49.705,0.0081236,-62.451,-8.6137,10.094
-6.201,6.201,52.628,0.0045928,-66.121,-9.1152,10.687
-6.543,6.543,55.553,0.0021084,-69.79,-9.6152,11.276
-6.8846,6.8846,58.478,0.00034779,-73.459,-10.115,11.865
-7.2264,7.2264,61.403,-0.00088788,-77.128,-10.616,12.454
-7.5686,7.5686,64.328,-0.0012973,-80.797,-11.118,13.044
-7.9111,7.9111,67.252,-0.0012799,-84.466,-11.622,13.634
-8.254,8.254,70.175,-0.00059805,-88.136,-12.126,14.225
-8.5974,8.5974,73.098,-0.00052288,-91.806,-12.631,14.817
-8.941,8.941,76.02,-0.00019938,-95.476,-13.136,15.409
-9.2846,9.2846,78.942,-7.5005e-06,-99.146,-13.641,16.001
-9.6284,9.6284,81.864,-7.3372e-05,-102.82,-14.146,16.593
-9.9727,9.9727,84.788,-0.00049726,-106.49,-14.651,17.187
-10.316,10.316,87.711,-9.3349e-05,-110.16,-15.157,17.779
-10.66,10.66,90.634,0.00056155,-113.83,-15.662,18.371
-11.004,11.004,93.556,0.00022762,-117.5,-16.167,18.963
-11.347,11.347,96.478,9.0946e-05,-121.17,-16.672,19.556
-11.691,11.691,99.4,0.00020094,-124.84,-17.176,20.148
-12.035,12.035,102.32,-0.00043718,-128.51,-17.681,20.74
-12.379,12.379,105.24,-0.00038232,-132.18,-18.186,21.333
-12.723,12.723,108.16,-0.00033903,-135.85,-18.692,21.926
-13.067,13.067,111.08,-6.7682e-05,-139.52,-19.198,22.519
-13.411,13.411,114,0.00020534,-143.19,-19.703,23.112
-13.755,13.755,116.93,-5.4768e-05,-146.86,-20.209,23.705
-14.098,14.098,119.85,0.00089389,-150.53,-20.714,24.296
-14.442,14.442,122.77,0.0004199,-154.2,-21.218,24.889
-14.786,14.786,125.69,-0.00052233,-157.87,-21.723,25.482
-15.13,15.13,128.61,-0.00042882,-161.54,-22.228,26.074
-15.474,15.474,131.54,-0.00035076,-165.21,-22.734,26.667
-15.817,15.817,134.46,0.00076938,-168.88,-23.239,27.258
-16.16,16.16,137.38,0.00037087,-172.55,-23.743,27.851
-16.504,16.504,140.3,-0.00022952,-176.22,-24.248,28.443
-16.848,16.848,143.22,-0.0004501,-179.89,-24.753,29.036
